trade_date,symbol,1. open,2. high,3. low,4. close,5. volume
2019-09-11,SHOP.TRT,444.7200,462.4800,442.0100,458.2800,3741000
2019-09-10,SHOP.TRT,464.9900,467.7100,440.4100,442.9800,3150000
2019-09-09,SHOP.TRT,504.7900,505.0000,461.5000,472.0500,4531000
2019-09-06,SHOP.TRT,517.3500,521.7500,501.2500,501.7000,2407000
2019-09-05,SHOP.TRT,515.5900,519.6800,502.7000,519.5100,2992000
2019-09-04,SHOP.TRT,519.8000,521.8100,506.3000,511.3300,2758000
2019-09-03,SHOP.TRT,511.1100,524.6400,507.6800,512.5800,3054000
2019-08-30,SHOP.TRT,524.2100,524.4700,494.5800,512.8200,4938000
2019-08-29,SHOP.TRT,533.3700,536.7400,521.2800,522.0600,3094000
2019-08-28,SHOP.TRT,540.6200,542.7500,519.8600,525.6300,3657000
2019-08-27,SHOP.TRT,533.5700,543.7600,529.5000,541.4900,4869000
2019-08-26,SHOP.TRT,515.7400,528.1500,511.2500,524.3400,2966000
2019-08-23,SHOP.TRT,524.5600,526.3200,506.9400,508.4100,4508000
2019-08-22,SHOP.TRT,520.0000,522.0000,505.9600,517.0500,3081000
2019-08-21,SHOP.TRT,506.8000,519.6900,501.0000,519.0700,3056000
2019-08-20,SHOP.TRT,481.0000,501.5000,479.7700,499.1500,2904000
2019-08-19,SHOP.TRT,482.8000,486.0900,477.0000,481.6200,1867000
2019-08-16,SHOP.TRT,475.6900,479.4500,467.5100,476.5400,2467000
2019-08-15,SHOP.TRT,473.1600,479.1000,463.8600,467.5200,3117000
2019-08-14,SHOP.TRT,476.9300,488.1600,463.0000,470.0700,4053000
2019-08-13,SHOP.TRT,483.9800,491.8800,469.5900,488.4900,3285000
2019-08-12,SHOP.TRT,483.5400,492.5000,477.9000,485.6800,3230000
2019-08-09,SHOP.TRT,468.6500,490.9500,468.5100,488.3600,4440000
2019-08-08,SHOP.TRT,456.2900,474.2500,455.3000,473.1000,3372000
2019-08-07,SHOP.TRT,436.4600,456.1600,436.4600,453.6500,3481000
2019-08-06,SHOP.TRT,435.0000,442.6100,430.0000,441.8800,3679000
2019-08-02,SHOP.TRT,450.1000,452.0100,427.3800,438.9500,4119000
2019-08-01,SHOP.TRT,441.8000,463.0000,435.0000,451.5800,6130000
2019-07-31,SHOP.TRT,415.8600,421.6400,410.1100,419.4100,3038000
2019-07-30,SHOP.TRT,414.8000,424.6200,409.4100,413.8300,2237000
